time,DHT22 humidity,DHT22 temp,BMP085 temp,BMP085 pressure,
22:21:09,28.30,26.70,31.80,101411,
22:21:35,26.90,26.70,31.70,101402,
22:22:02,27.30,26.60,31.40,101412,
22:22:29,24.70,26.50,31.20,101418,
22:22:56,26.90,26.40,31.10,101411,
22:23:23,26.90,26.40,31.10,101409,
22:23:50,26.60,26.40,31.10,101411,
22:24:16,26.80,26.50,31.10,101417,
22:24:43,26.30,26.50,31.10,101406,
22:25:10,25.80,26.50,31.00,101412,
22:25:37,27.20,26.40,31.00,101411,
22:26:04,27.00,26.40,31.00,101411,
22:26:31,27.70,26.40,31.00,101410,
22:26:58,26.70,26.40,30.90,101409,
22:27:24,27.30,26.40,30.90,101412,
22:27:51,27.30,26.40,30.90,101415,
22:28:18,28.10,26.40,30.90,101408,
22:28:45,28.00,26.40,30.90,101407,
22:29:12,27.60,26.40,31.00,101405,
22:29:39,25.70,26.30,31.00,101411,
22:30:05,26.60,26.30,31.00,101405,
22:30:32,26.70,26.20,31.00,101405,
22:30:59,27.60,26.30,31.10,101409,
22:31:26,27.50,26.30,31.20,101403,
22:31:53,27.80,26.30,31.20,101402,
22:32:20,27.60,26.30,31.20,101408,
22:32:46,27.00,26.30,31.30,101401,
22:33:13,27.50,26.30,31.30,101400,
22:33:40,27.90,26.30,31.30,101402,
22:34:07,27.30,26.30,31.30,101405,
22:34:34,26.70,26.30,31.30,101403,
22:35:01,26.90,26.30,31.30,101412,
22:35:27,26.60,26.30,31.30,101409,
22:35:54,26.30,26.30,31.30,101412,
22:36:21,26.50,26.30,31.30,101406,
22:36:48,26.30,26.30,31.30,101407,
22:37:15,26.70,26.30,31.40,101409,
22:37:42,27.10,26.30,31.30,101407,
22:38:09,27.00,26.30,31.40,101404,
22:38:35,26.80,26.30,31.30,101398,
22:39:02,27.10,26.30,31.40,101399,
22:39:29,27.00,26.30,31.40,101401,
22:39:56,27.10,26.30,31.30,101406,
22:40:23,26.80,26.30,31.30,101409,
22:40:50,27.40,26.30,31.30,101418,
22:41:16,27.40,26.30,31.30,101402,
22:41:43,27.60,26.30,31.40,101406,
22:42:10,27.80,26.30,31.40,101408,
22:42:37,27.80,26.40,31.40,101407,
22:43:04,28.20,26.40,31.40,101413,
22:43:31,28.60,26.40,31.40,101407,
22:43:57,28.70,26.40,31.40,101407,
22:44:24,29.00,26.40,31.50,101412,
22:44:51,29.20,26.40,31.50,101411,
22:45:18,28.70,26.50,31.50,101413,
22:45:45,28.40,26.50,31.50,101412,
22:46:12,28.30,26.50,31.50,101407,
22:46:39,27.50,26.50,31.50,101406,
22:47:05,28.10,26.60,31.50,101411,
22:47:32,28.30,26.60,31.50,101410,
22:47:59,28.00,26.60,31.60,101405,
22:48:26,28.30,26.60,31.60,101403,
22:48:53,28.10,26.60,31.60,101403,
22:49:20,28.60,26.70,31.60,101405,
22:49:46,28.70,26.70,31.60,101404,
22:50:13,28.10,26.70,31.60,101399,
22:50:40,27.90,26.70,31.60,101406,
22:51:07,27.70,26.70,31.70,101410,
22:51:34,28.50,26.80,31.70,101407,
22:52:01,28.70,26.80,31.70,101408,
22:52:27,29.40,26.80,31.70,101405,
22:52:54,29.50,26.80,31.70,101410,
22:53:21,29.70,26.80,31.70,101410,
22:53:48,29.80,26.80,31.70,101403,
22:54:15,29.60,26.80,31.70,101412,
22:54:42,29.90,26.80,31.70,101412,
22:55:08,29.70,26.80,31.70,101407,
22:55:35,29.60,26.80,31.70,101407,
22:56:02,29.70,26.80,31.70,101409,
22:56:29,29.80,26.80,31.70,101416,
22:56:56,29.90,26.80,31.70,101417,
22:57:23,29.80,26.80,31.70,101411,
22:57:50,29.80,26.80,31.70,101418,
22:58:16,30.10,26.80,31.70,101415,
22:58:43,30.30,26.80,31.70,101417,
22:59:10,30.80,26.80,31.70,101418,
22:59:37,31.20,26.80,31.70,101412,
23:00:04,31.00,26.80,31.70,101416,
23:00:31,31.40,26.80,31.70,101419,
23:00:57,30.50,26.80,31.70,101418,
23:01:24,30.80,26.80,31.70,101420,
23:01:51,30.80,26.90,31.70,101419,
23:02:18,31.00,26.90,31.70,101418,
23:02:45,31.20,26.90,31.70,101424,
23:03:12,31.80,26.90,31.80,101417,
23:03:38,31.50,26.90,31.80,101417,
23:04:05,31.80,26.90,31.80,101419,
23:04:32,31.20,26.90,31.80,101419,
23:04:59,32.10,26.90,31.80,101414,
23:05:26,32.00,26.90,31.80,101418,
23:05:53,32.70,26.90,31.80,101417,
23:06:20,32.60,26.90,31.80,101425,
23:06:46,33.10,26.90,31.80,101420,
23:07:13,33.30,26.90,31.80,101418,
23:07:40,33.40,26.90,31.80,101416,
23:08:07,33.10,26.90,31.80,101410,
23:08:34,33.30,26.90,31.80,101421,
23:09:01,33.50,26.90,31.80,101421,
23:09:27,33.50,26.90,31.80,101412,
23:09:54,33.60,26.90,31.80,101416,
23:10:21,33.70,26.90,31.80,101418,
23:10:48,33.80,26.90,31.80,101415,
23:11:15,33.80,26.90,31.80,101424,
23:11:42,34.20,26.90,31.80,101424,
23:12:08,35.00,26.90,31.80,101427,
23:12:35,34.90,27.00,31.80,101415,
23:13:02,35.10,26.90,31.80,101424,
23:13:29,35.00,26.90,31.90,101422,
23:13:56,35.20,27.00,31.90,101420,
23:14:23,35.40,27.00,31.80,101415,
23:14:50,36.10,27.00,31.90,101418,
23:15:16,36.40,27.00,31.90,101413,
23:15:43,36.70,27.00,31.90,101417,
23:16:10,35.30,27.00,31.90,101413,
23:16:37,35.40,27.00,31.90,101418,
23:17:04,35.20,27.10,31.90,101416,
23:17:31,35.20,27.00,31.90,101430,
23:17:57,35.90,27.00,31.90,101423,
23:18:24,36.00,27.10,31.90,101415,
23:18:51,36.20,27.10,31.90,101412,
23:19:18,36.00,27.10,31.90,101410,
23:19:45,35.80,27.10,31.90,101419,
23:20:12,35.70,27.00,31.90,101419,
23:20:39,35.70,27.10,31.90,101411,
23:21:05,35.70,27.10,31.90,101419,
23:21:32,35.90,27.10,31.90,101425,
23:21:59,36.20,27.10,31.90,101421,
23:22:26,35.90,27.00,31.90,101424,
23:22:53,36.10,27.00,31.90,101426,
23:23:20,36.30,27.10,31.90,101422,
23:23:46,36.30,27.10,31.90,101422,
23:24:13,36.30,27.10,31.90,101427,
23:24:40,36.40,27.10,31.90,101419,
23:25:07,36.20,27.10,31.90,101425,
23:25:34,36.30,27.10,31.90,101421,
23:26:01,37.10,27.10,31.90,101426,
23:26:27,37.30,27.10,31.90,101415,
23:26:54,37.50,27.10,31.90,101420,
23:27:21,37.80,27.10,31.90,101427,
23:27:48,37.50,27.10,31.90,101423,
23:28:15,37.30,27.00,31.90,101420,
23:28:42,37.60,27.10,32.00,101423,
23:29:09,37.60,27.10,31.90,101418,
23:29:35,38.00,27.10,31.90,101418,
23:30:02,37.80,27.10,31.90,101420,
23:30:29,37.60,27.10,32.00,101420,
23:30:56,36.70,27.10,32.00,101423,
23:31:23,37.40,27.10,32.00,101423,
23:31:50,37.90,27.10,32.00,101419,
23:32:16,37.60,27.10,32.00,101424,
23:32:43,37.40,27.10,31.90,101422,
23:33:10,37.50,27.10,31.90,101417,
23:33:37,37.80,27.10,31.90,101417,
23:34:04,37.80,27.10,32.00,101418,
23:34:31,37.80,27.10,32.00,101424,
23:34:58,37.50,27.10,32.00,101416,
23:35:24,37.30,27.10,32.00,101423,
23:35:51,37.50,27.10,32.00,101419,
23:36:18,37.70,27.10,32.00,101422,
23:36:45,38.20,27.10,32.00,101417,
23:37:12,38.40,27.10,32.00,101416,
23:37:39,38.40,27.10,32.00,101415,
23:38:05,37.80,27.10,32.00,101412,
23:38:32,38.50,27.10,32.00,101416,
23:38:59,37.90,27.10,32.00,101412,
23:39:26,38.10,27.20,32.00,101418,
23:39:53,38.30,27.20,32.00,101412,
23:40:20,38.50,27.20,32.00,101417,
23:40:46,37.80,27.10,32.00,101417,
23:41:13,37.70,27.20,32.00,101416,
23:41:40,38.10,27.20,32.00,101418,
23:42:07,38.50,27.20,32.00,101419,
23:42:34,38.40,27.10,32.00,101413,
23:43:01,38.60,27.20,32.00,101416,
23:43:28,38.30,27.10,32.00,101422,
23:43:54,37.40,27.10,32.00,101414,
23:44:21,36.40,27.10,31.90,101409,
23:44:48,34.50,27.00,31.90,101427,
23:45:15,34.20,26.90,31.80,101418,
23:45:42,32.30,26.80,31.70,101413,
23:46:09,31.90,26.70,31.60,101415,
23:46:35,30.00,26.60,31.50,101422,
23:47:02,30.00,26.60,31.50,101418,
23:47:29,29.60,26.50,31.50,101427,
23:47:56,29.70,26.40,31.40,101416,
23:48:23,30.30,26.30,31.30,101416,
23:48:50,30.80,26.20,31.20,101419,
23:49:16,29.80,26.10,31.20,101412,
23:49:43,29.70,26.10,31.20,101427,
23:50:10,29.60,26.00,31.10,101422,
23:50:37,29.60,26.00,31.10,101420,
23:51:04,28.70,26.00,31.10,101413,
23:51:31,28.10,25.90,31.10,101417,
23:51:58,28.50,25.90,31.00,101423,
23:52:24,29.30,25.80,31.00,101414,
23:52:51,29.30,25.80,31.00,101415,
23:53:18,29.30,25.80,30.90,101415,
23:53:45,28.50,25.70,30.90,101413,
23:54:12,28.60,25.70,30.90,101413,
23:54:39,28.60,25.70,30.80,101418,
23:55:05,29.10,25.70,30.80,101420,
23:55:32,29.40,25.60,30.80,101416,
23:55:59,28.70,25.60,30.80,101420,
23:56:26,28.30,25.50,30.70,101423,
23:56:53,28.40,25.50,30.70,101429,
23:57:20,27.80,25.50,30.70,101420,
23:57:46,28.30,25.50,30.70,101417,
23:58:13,28.40,25.50,30.70,101421,
23:58:40,27.80,25.50,30.60,101417,
23:59:07,27.90,25.50,30.70,101427,
23:59:34,28.00,25.40,30.60,101425,
00:00:01,27.90,25.40,30.60,101429,
00:00:28,28.10,25.40,30.60,101428,
00:00:54,27.80,25.40,30.60,101432,
00:01:21,27.40,25.30,30.50,101440,
00:01:48,27.50,25.30,30.50,101421,
00:02:15,27.20,25.30,30.50,101418,
00:02:42,26.70,25.20,30.50,101422,
00:03:09,27.00,25.20,30.50,101420,
00:03:35,27.20,25.20,30.50,101427,
00:04:02,26.50,25.20,30.50,101426,
00:04:29,26.40,25.20,30.50,101431,
00:04:56,26.10,25.20,30.50,101427,
00:05:23,25.40,25.20,30.50,101426,
00:05:50,26.10,25.20,30.50,101424,
00:06:16,26.30,25.20,30.50,101426,
00:06:43,26.40,25.20,30.40,101419,
00:07:10,25.80,25.10,30.40,101423,
00:07:37,26.00,25.20,30.40,101423,
00:08:04,26.30,25.10,30.40,101427,
00:08:31,26.80,25.00,30.40,101426,
00:08:58,27.30,25.10,30.30,101430,
00:09:24,27.00,25.10,30.30,101432,
00:09:51,26.90,25.00,30.30,101455,
00:10:18,26.30,25.00,30.30,101438,
00:10:45,25.90,25.00,30.30,101422,
00:11:12,25.40,25.00,30.30,101438,
00:11:39,25.80,25.00,30.30,101425,
00:12:05,25.60,25.00,30.30,101436,
00:12:32,26.40,24.90,30.20,101436,
00:12:59,26.70,24.90,30.20,101428,
00:13:26,25.90,24.90,30.20,101435,
00:13:53,26.30,24.80,30.10,101430,
00:14:20,26.50,24.80,30.10,101434,
00:14:46,25.60,24.80,30.10,101433,
00:15:13,25.20,24.80,30.10,101440,
00:15:40,25.10,24.80,30.10,101429,
00:16:07,25.30,24.80,30.10,101435,
00:16:34,25.20,24.80,30.10,101438,
00:17:01,25.50,24.80,30.00,101434,
00:17:28,25.10,24.70,30.00,101433,
00:17:54,25.10,24.80,30.00,101435,
00:18:21,24.80,24.70,30.00,101441,
00:18:48,24.40,24.70,30.00,101433,
00:19:15,24.40,24.70,30.00,101429,
00:19:42,24.50,24.70,30.00,101427,
00:20:09,25.00,24.70,30.00,101430,
00:20:35,24.60,24.70,30.00,101431,
00:21:02,24.80,24.70,30.00,101440,
00:21:29,24.90,24.70,30.00,101437,
00:21:56,24.90,24.70,30.00,101425,
00:22:23,24.90,24.70,30.00,101435,
00:22:50,24.20,24.70,30.00,101429,
00:23:17,24.40,24.70,30.00,101424,
00:23:43,24.20,24.70,29.90,101434,
00:24:10,24.00,24.70,30.00,101434,
00:24:37,24.70,24.70,29.90,101430,
00:25:04,24.30,24.60,29.90,101418,
00:25:31,24.20,24.60,29.90,101430,
00:25:58,24.30,24.60,29.90,101430,
00:26:24,24.20,24.60,29.90,101432,
00:26:51,24.00,24.60,29.90,101428,
00:27:18,24.20,24.60,29.90,101427,
00:27:45,24.10,24.60,29.90,101429,
00:28:12,24.40,24.60,29.90,101440,
00:28:39,23.70,24.60,29.90,101430,
00:29:05,23.50,24.60,29.90,101432,
00:29:32,23.20,24.60,29.90,101427,
00:29:59,23.40,24.60,29.90,101426,
00:30:26,23.70,24.60,29.80,101434,
00:30:53,23.90,24.50,29.80,101437,
00:31:20,24.20,24.50,29.80,101433,
00:31:47,23.40,24.50,29.80,101436,
00:32:13,22.90,24.50,29.80,101432,
00:32:40,22.90,24.50,29.70,101431,
00:33:07,23.30,24.50,29.70,101443,
00:33:34,23.00,24.40,29.70,101439,
00:34:01,23.10,24.40,29.70,101424,
00:34:28,23.80,24.50,29.70,101439,
00:34:54,23.40,24.40,29.70,101427,
00:35:21,23.10,24.40,29.70,101428,
00:35:48,23.20,24.50,29.70,101440,
00:36:15,23.40,24.40,29.70,101437,
00:36:42,24.70,24.40,29.60,101428,
00:37:09,24.10,24.40,29.60,101435,
00:37:36,24.50,24.40,29.60,101426,
00:38:02,23.70,24.30,29.60,101424,
00:38:29,23.30,24.30,29.60,101428,
00:38:56,23.40,24.40,29.70,101427,
00:39:23,23.80,24.40,29.60,101423,
00:39:50,23.70,24.40,29.60,101423,
00:40:17,23.50,24.40,29.60,101432,
00:40:43,23.40,24.40,29.60,101425,
00:41:10,23.00,24.30,29.60,101439,
00:41:37,23.50,24.30,29.60,101428,
00:42:04,22.90,24.40,29.60,101438,
00:42:31,23.00,24.40,29.60,101432,
00:42:58,23.60,24.30,29.60,101432,
00:43:24,23.30,24.30,29.60,101438,
00:43:51,23.60,24.30,29.50,101432,
00:44:18,23.60,24.30,29.60,101440,
00:44:45,23.30,24.30,29.50,101440,
00:45:12,23.20,24.30,29.50,101436,
00:45:39,22.70,24.30,29.50,101438,
00:46:06,22.90,24.30,29.50,101433,
00:46:32,23.10,24.30,29.60,101439,
00:46:59,22.70,24.20,29.60,101435,
00:47:26,22.80,24.30,29.60,101434,
00:47:53,22.60,24.30,29.50,101441,
00:48:20,22.80,24.20,29.50,101435,
00:48:47,22.90,24.20,29.50,101437,
00:49:13,23.70,24.20,29.50,101437,
00:49:40,23.30,24.20,29.40,101438,
00:50:07,23.00,24.10,29.40,101432,
00:50:34,22.90,24.10,29.40,101435,
00:51:01,22.50,24.10,29.40,101438,
00:51:28,22.40,24.10,29.40,101439,
00:51:54,21.50,24.10,29.40,101438,
00:52:21,21.90,24.10,29.40,101440,
00:52:48,22.50,24.10,29.40,101434,
00:53:15,22.40,24.10,29.40,101444,
